pb_file,node_name,op_type,dtype,output_shapes,device,input_count,inputs,attr_keys
meta_graph_1_frozen.pb,mNgQ4ohWqU,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,WFe46VOJCn,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,jvuoKqdUHb,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,IpXFTYPsol,Slice,DT_FLOAT,,,3,mNgQ4ohWqU|WFe46VOJCn|jvuoKqdUHb,Index|T
meta_graph_1_frozen.pb,zX6xKOWG9S,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,fpwTOjMIrW,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,e0tLqnQ5pw,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,QBeT4PU5y2,Slice,DT_FLOAT,,,3,zX6xKOWG9S|fpwTOjMIrW|e0tLqnQ5pw,Index|T
meta_graph_1_frozen.pb,Uc42tiuavR,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,0vtkiSmAqF,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,hH2e1jXQmT,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,WGtiIA2l7y,Slice,DT_FLOAT,,,3,Uc42tiuavR|0vtkiSmAqF|hH2e1jXQmT,Index|T
meta_graph_1_frozen.pb,1QWFmJ96aB,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,ar1eXJx7gh,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,QfjmliAkKE,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,BRrYIlUwKe,Slice,DT_FLOAT,,,3,1QWFmJ96aB|ar1eXJx7gh|QfjmliAkKE,Index|T
meta_graph_1_frozen.pb,Cw59eOo7M1,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,xZH3v2sGgX,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,Kamkx8BHb9,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,AsROGeQonr,Slice,DT_FLOAT,,,3,Cw59eOo7M1|xZH3v2sGgX|Kamkx8BHb9,Index|T
meta_graph_1_frozen.pb,EhUjmCTaGW,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,H4xubKay0g,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,iUejqTRLYa,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,9pRsXVenNf,Slice,DT_FLOAT,,,3,EhUjmCTaGW|H4xubKay0g|iUejqTRLYa,Index|T
meta_graph_1_frozen.pb,6Wh2Jm7GHC,Placeholder,DT_FLOAT,,,0,,dtype|shape
